Littleton 10,141 Town Meeting adopted 5/4/15 1/1/2016
Longmeadow 15,853 Town Meeting adoped 5/7/13 7/1/2014
Lowell 115,554 City Council adopted 3/20/10 1/1/2011
Lunenburg 11,782 Town Meeting adopted 5/4/13 7/1/2014
Lynn 101,253 City Council adopted 9/10/19 1/1/2020
Malden 66,263 City Council adopted 11/22/16 1/1/2017
Manchester 5,395 Town Meeting adopted 4/2/13 1/1/2014
Mansfield 23,860 Town Meeting adopted 5/24/21 7/1/2021
Marblehead 20,441 Town Meeting adopted 5/7/18 7/1/2018
Marion 5,347 Town Meeting adopted 10/22/18 1/1/2019
Marlborough 41,793 City Council adopted 11/8/10 1/1/2012
Marshfield 25,825 Town Meeting adopted 10/27/14 7/1/2015
Mashpee 15,060 Board of Selectment adopted 1/25/10 1/1/2011
Maynard 10,746 Town Meeting adopted 10/26/2011 7/1/2012
Medfield 12,799 Town Meeting adopted 4/25/16 1/1/2017
Medford 59,659 City Council adopted 5/4/10 1/1/2011
Medway 13,115 Town Meeting adopted 11/15/10 7/1/2011
Melrose 29,817 City Council adopted 5/10/10 1/1/2011
Mendon 6,228 Town Meeting adopted 6/6/2011 1/1/2012
Merrimac 6,723 Town Meeting adopted 5/14/18 7/1/2018
Methuen 53,059 Town Meeting adopted 10/15/18 1/1/2019
Middleborough 24,245 Town Meeting adopted 4/24/17 7/1/2017
Middlefield 385 Town Meeting adopted 5/7/11 1/1/2012
Millbury 13,831 Town Meeting adopted 6/7/11 1/1/2012
Millis 8,460 Town Meeting adoped 11/2/15 7/1/2016
Millville 3,174 Town Meeting adopted 5/14/12 1/1/2013
Milton 28,630 Town Meeting adopted 9/20/10 7/1/2011
Monson 8,150 Town Meeting adopted 5/9/11 1/1/2012
Montague 8,580 Town Meeting adopted 4/1/10 1/1/2011
Monterey 1,095 Town Meeting adopted 5/4/19 7/1/2019
Nahant 3,334 Town Meeting adopted 4/28/18 7/1/2018
Nantucket 14,255 Town Meeting adopted 4/1/19 9/1/2019
Natick 37,006 Town Meeting adopted 4/29/10 1/1/2011
Needham 32,091 Town Meeting adopted 5/13/19 7/1/2019
New Bedford 101,079 City Council adopted 1/12/17 7/1/2017
New Braintree 996 Town Meeting adopted 6/19/17 1/1/2018
New Salem 983 Town Meeting adopted 11/8/10 7/1/2011
Newbury 6,716 Town Meeting adopted 6/22/20 1/1/2021
Newburyport 18,289 City Council adopted 11/8/10 7/1/2011
